category,pokemon_name,count,description
SUMMARY,total_stats_pokemon,801.0,Total Pokemon in stats file
SUMMARY,total_image_pokemon,864.0,Total unique Pokemon with images
SUMMARY,overlapping_pokemon,776.0,Pokemon with both stats and images
SUMMARY,coverage_percentage,96.9,Percentage of stats Pokemon that have images
OVERLAPPING,abomasnow,1.0,Has both stats and images
OVERLAPPING,abra,1.0,Has both stats and images
OVERLAPPING,absol,1.0,Has both stats and images
OVERLAPPING,accelgor,1.0,Has both stats and images
OVERLAPPING,aegislash,1.0,Has both stats and images
OVERLAPPING,aerodactyl,1.0,Has both stats and images
OVERLAPPING,aggron,1.0,Has both stats and images
OVERLAPPING,aipom,1.0,Has both stats and images
OVERLAPPING,alakazam,1.0,Has both stats and images
OVERLAPPING,alomomola,1.0,Has both stats and images
OVERLAPPING,altaria,1.0,Has both stats and images
OVERLAPPING,amaura,1.0,Has both stats and images
OVERLAPPING,ambipom,1.0,Has both stats and images
OVERLAPPING,amoonguss,1.0,Has both stats and images
OVERLAPPING,ampharos,1.0,Has both stats and images
OVERLAPPING,anorith,1.0,Has both stats and images
OVERLAPPING,araquanid,1.0,Has both stats and images
OVERLAPPING,arbok,1.0,Has both stats and images
OVERLAPPING,arcanine,1.0,Has both stats and images
OVERLAPPING,arceus,1.0,Has both stats and images
OVERLAPPING,archen,1.0,Has both stats and images
OVERLAPPING,archeops,1.0,Has both stats and images
OVERLAPPING,ariados,1.0,Has both stats and images
OVERLAPPING,armaldo,1.0,Has both stats and images
OVERLAPPING,aromatisse,1.0,Has both stats and images
OVERLAPPING,aron,1.0,Has both stats and images
OVERLAPPING,articuno,1.0,Has both stats and images
OVERLAPPING,audino,1.0,Has both stats and images
OVERLAPPING,aurorus,1.0,Has both stats and images
OVERLAPPING,avalugg,1.0,Has both stats and images
OVERLAPPING,axew,1.0,Has both stats and images
OVERLAPPING,azelf,1.0,Has both stats and images
OVERLAPPING,azumarill,1.0,Has both stats and images
OVERLAPPING,azurill,1.0,Has both stats and images
OVERLAPPING,bagon,1.0,Has both stats and images
OVERLAPPING,baltoy,1.0,Has both stats and images
OVERLAPPING,banette,1.0,Has both stats and images
OVERLAPPING,barbaracle,1.0,Has both stats and images
OVERLAPPING,barboach,1.0,Has both stats and images
OVERLAPPING,basculin,1.0,Has both stats and images
OVERLAPPING,bastiodon,1.0,Has both stats and images
OVERLAPPING,bayleef,1.0,Has both stats and images
