,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water
bug,56,1,1,4,0,1,2,15,0,14,1,0,1,13,0,5,3,5
dark,1,37,0,0,0,1,4,9,3,7,3,1,9,5,0,2,0,2
dragon,0,2,33,1,0,1,0,4,1,2,4,1,0,1,5,1,3,3
electric,3,1,1,41,1,0,1,5,0,0,0,0,1,0,0,0,6,4
fairy,1,0,0,0,25,0,0,1,2,2,0,0,5,0,4,1,3,4
fighting,2,0,2,0,0,29,2,0,0,3,1,0,2,1,5,1,2,3
fire,4,6,1,0,0,5,48,9,3,0,4,2,3,2,0,3,1,1
flying,13,9,9,7,1,0,9,91,2,6,2,3,25,1,8,2,1,9
ghost,1,1,3,0,0,0,2,3,29,1,2,0,1,5,1,2,0,2
grass,7,3,0,0,0,5,0,5,6,87,1,2,3,14,6,2,1,6
ground,4,3,5,0,0,0,1,4,2,8,49,5,3,5,3,11,1,7
ice,0,1,1,0,0,0,3,4,0,2,6,24,4,0,2,0,0,12
normal,1,6,1,0,5,0,0,26,0,1,1,0,95,1,4,0,1,1
poison,10,6,2,0,0,3,1,6,6,17,3,0,1,56,1,0,1,8
psychic,0,1,4,1,3,5,1,8,0,5,4,1,5,0,76,1,6,10
rock,5,3,2,0,3,1,1,4,1,6,14,0,0,0,2,50,4,10
steel,5,0,2,7,3,3,1,1,1,1,3,0,0,0,9,4,36,1
water,2,2,3,3,3,4,0,9,4,2,7,5,3,5,8,10,2,125
