type,original_accuracy,avg_shifted_accuracy,worst_hue_shift,worst_accuracy,accuracy_drop_worst
bug,0.92,0.63,150,0.48,0.44000000000000006
dark,0.7924528301886793,0.5,150,0.3018867924528302,0.4905660377358491
dragon,0.8837209302325582,0.7151162790697674,90,0.5581395348837209,0.32558139534883723
electric,0.7321428571428571,0.22321428571428573,270,0.08928571428571429,0.6428571428571428
fairy,0.8787878787878788,0.5454545454545455,210,0.21212121212121213,0.6666666666666666
fighting,0.8888888888888888,0.5499999999999999,120,0.3333333333333333,0.5555555555555556
fire,0.9264705882352942,0.3014705882352941,270,0.08823529411764706,0.8382352941176471
flying,0.9107142857142857,0.7455357142857143,90,0.6607142857142857,0.25
ghost,0.7647058823529411,0.5049019607843137,210,0.2647058823529412,0.49999999999999994
grass,0.9326923076923077,0.530448717948718,210,0.17307692307692307,0.7596153846153846
ground,0.8933333333333333,0.7211111111111111,120,0.6133333333333333,0.28
ice,0.868421052631579,0.600877192982456,150,0.42105263157894735,0.44736842105263164
normal,0.9051724137931034,0.3800287356321839,120,0.15517241379310345,0.75
poison,0.8607594936708861,0.6350210970464135,120,0.46835443037974683,0.3924050632911393
psychic,0.9032258064516129,0.75,180,0.6236559139784946,0.27956989247311825
rock,0.8970588235294118,0.6470588235294119,120,0.45588235294117646,0.44117647058823534
steel,0.8695652173913043,0.6231884057971014,90,0.41304347826086957,0.45652173913043476
water,0.9215686274509803,0.6361655773420479,270,0.37254901960784315,0.5490196078431372
